AniList 标签,分类,成人标签,AniList 定义,优化前译名,建议译名,采用译名,变更类型,状态,问题说明,参考语境,来源
4-koma,Technical,否,"A manga in the 'yonkoma' format, which consists of four equal-sized panels arranged in a vertical strip.",四格漫画,四格漫画,四格漫画,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Achromatic,Technical,否,Contains animation that is primarily done in black and white.,无彩色,无彩色,无彩色,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Achronological Order,Setting-Time,否,Chapters or episodes do not occur in chronological order.,非线性叙事,非线性叙事,非线性叙事,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Acrobatics,Theme-Game-Sport,否,"The art of jumping, tumbling, and balancing. Often paired with trapeze, trampolining, tightropes, or general gymnastics.",杂技,杂技,杂技,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Acting,Theme-Arts,否,Centers around actors or the acting industry.,演技,演技,演技,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Adoption,Theme-Other,否,Features a character who has been adopted by someone who is neither of their biological parents.,收养,收养,收养,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Advertisement,Technical,否,Produced in order to promote the products of a certain company.,广告,广告,广告,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Afterlife,Setting-Universe,否,Partly or completely set in the afterlife.,死后世界,死后世界,死后世界,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Age Gap,Theme-Romance,否,Prominently features romantic relations between people with a significant age difference.,年龄差,年龄差,年龄差,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Age Regression,Cast-Traits,否,Prominently features a character who was returned to a younger state.,年龄回溯,年龄倒退,年龄倒退,优化,已采用,由“年龄回溯”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Agender,Cast-Traits,否,Prominently features agender characters.,无性别,无性别,无性别,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Agriculture,Theme-Slice of Life,否,Prominently features agriculture practices.,农业,农业,农业,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ahegao,Sexual Content,是,Features a character making an exaggerated orgasm face.,阿黑颜,阿黑颜,阿黑颜,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Airsoft,Theme-Game-Sport,否,Centers around the sport of airsoft.,软式气枪,软式气枪,软式气枪,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Alchemy,Theme-Fantasy,否,Features character(s) who practice alchemy.,炼金术,炼金术,炼金术,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Aliens,Cast-Traits,否,Prominently features extraterrestrial lifeforms.,外星人,外星人,外星人,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Alternate Universe,Setting-Universe,否,Features multiple alternate universes in the same series.,平行世界,平行世界,平行世界,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
American Football,Theme-Game-Sport,否,Centers around the sport of American football.,美式足球,美式足球,美式足球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Amnesia,Cast-Traits,否,Prominently features a character(s) with memory loss.,失忆,失忆,失忆,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Amputation,Sexual Content,是,Features amputation or amputees.,,截肢,截肢,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Anachronism,Setting-Time,否,"Prominently features elements that are out of place in the historical period the work takes place in, particularly modern elements in a historical setting.",时代错置,时代错置,时代错置,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Anal Sex,Sexual Content,是,Features sexual penetration of the anal cavity.,肛交,肛交,肛交,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ancient China,Setting-Time,否,"Setting in ancient china, does not apply to fantasy settings.",,中国古代,中国古代,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Angels,Cast-Traits,否,Prominently features spiritual beings usually represented with wings and halos and believed to be attendants of God.,天使,天使,天使,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Animals,Theme-Other,否,Prominently features animal characters in a leading role.,动物,动物,动物,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Anthology,Technical,否,A collection of separate works collated into a single release.,短篇集,短篇集,短篇集,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Anthropomorphism,Cast-Traits,否,Contains non-human character(s) that have attributes or characteristics of a human being.,拟人化,拟人化,拟人化,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
